	字源出典	りく☆しょ？	燐字学	備考	兄弟	字源	怪しい	キャスっ♡
鼓		会意	集意之字			【声】と【樽】の組み合わせ。		
皷		会意	集意之字			【声】と【樽】の組み合わせ。		
勿		会意	使多言一	根拠言語: パイグ語		【無】mun1 +【為】zau2。		
硬		会意	集意之字			【石】と【如】の組み合わせ。		
正		会意	集意之字			【直】と【如】の組み合わせ。		
横		会意	集意之字			【左】と【右】の組み合わせ。		
論		会意	層字			【言】と【言】の組み合わせ。		
抗		会意	集意之字			【弓】と【力】の組み合わせ。		
酒		会意	集意之字			【奮】と【水】の組み合わせ。		
奮		会意	集意之字			【心】と【火】の組み合わせ。		
後		会意	集意之字			【背】と【処】の組み合わせ。		
踵		会意	集意之字			【背】と【足】の組み合わせ。		
労		会意	集意之字			【人】と【力】の組み合わせ。		
術		会意	層字			【手】と【手】の組み合わせ。		
等		会意	層字			【人】と【人】の組み合わせ。		
縦		会意	集意之字			【上】と【下】の組み合わせ。		
素		会意	集意之字			【始】と【物】の組み合わせ。		
王		会意	集意之字			【上】と【人】の組み合わせ。	王とは、【救】を【無】で否定したものである。	
増		会意	集意之字			【足】と【多】の組み合わせ。		
認		会意	集意之字			【言】と【善】の組み合わせ。		
族		会意	集意之字			【人】と【積】の組み合わせ。		
将		会意	集意之字			【人】と【手】の組み合わせ。/特に机戦においては【手】が【六】に訛った字形も頻繁に用いられる。		
筒		象形	片字			筒の象形。		
積		象形	片字			土などが積もっている様子の象形。		
猫		会意	集意之字			【家】の略体と【虎】の組み合わせ。		
貓		会意	集意之字			【家】の略体と【獣】の組み合わせ。		
色		象形	声之別字		【値】【字】【傷】	多数の刻みの象形で、彩りなどの意味から派生して色を象徴する。		
星		指事象形				天に浮かぶ点状のもの、つまり星を象る。		
清		会意	集意之字			汚れを表す【⿱五衣】を【無】で否定したもの。		
能		会意	集意之字			【力】と【手】の組み合わせ。		
左		指事	片字			基準としての縦棒に対してその左を表す。		
右		指事	片字			基準としての縦棒に対してその右を表す。		
上		指事	片字		【大】	基準としての横棒に対してその上を表す。		
下		指事	片字		【小】	基準としての横棒に対してその下を表す。		
函		象形	片字			箱の象形。		
古		会意	集意之字			【上】と【時】の組み合わせ。		
名		会意	集意之字			【言】と【術】の組み合わせ。		
前		会意	集意之字			【腹】と【処】の組み合わせ。		
学		会意	集意之字			【筆】と【入】の組み合わせ。		
軍		会意	層字			【兵】と【兵】と【兵】の組み合わせ。		
聚		会意	層字			【口】と【口】と【口】の組み合わせ。		
煙		会意	形集之字			【火】が【包】から立ち上る様子で煙を描写する。		
使		会意	形集之字			【石】と【手】により、石などの道具を用いる様を描画する。		
短		会意	集意之字			【小】と【直】の組み合わせ。		
挽		会意	集意之字			【小】と【為】の組み合わせ。		
長		会意	集意之字			【大】と【直】の組み合わせ。		
口		象形	片字			口の象形。		
骨		象形	片字			肋骨の象形。		
位		象形	片字			階段の象形。		
花		象形	片字			花の象形。		
米		象形	片字			米、特に稲穂の象形。		
風		象形	片字			風による渦巻の象形。		
文		会意	集意之字		【律】	【筆】と【連】の組み合わせ。		
膠		象形	片字			不詳。		
月		象形	片字			月の象形。		
血		会意	集意之字			【心】と【水】の組み合わせ。		
弓		象形	片字			弓の象形。		
魚		象形	片字			魚の象形。		
貝		象形	片字			巻き貝の象形。		
与		会意	片字	【口】は口ではないので		【手】と物を組み合わせることで、与えることを表す。		
受			片字	下位分類「まわした字」		【与】を回転し、受けることを表す。		
従		会意				【将】と【人】の組み合わせ。		
从		会意				【王】と【人】の組み合わせ。【官】と紛らわしいこともあり燐帝に異体字認定された。		
裁		会意	集意之字			【別】と【物】の組み合わせ。		
樽		象形	片字			樽の象形。		
羅	lin-marn.html	会意とも取れる形声	意之別字	【軸】からの意符付加分化		音符【軸】、意符【国】の略体。		
頭		指事	片字	下位分類「しるしつけた字」		【人】の一方に印をつけ、頭を象徴する。		
背		指事	片字	下位分類「しるしつけた字」		【人】の一方に印をつけ、背を象徴する。		
層		会意	層字			横棒三本を重ね、重なっている様を象徴する。		
意		会意	集意之字			【言】と【物】の組み合わせ。		
噫		会意	集意之字			【心】と【声】の組み合わせ。		
真		会意	集意之字			【言】と【石】（【硬】の意）の組み合わせ。		
嗅		象形	片字			鼻の象形。		
声		象形	片字			声の広がっていくさまを象る。		
車		象形	片字			車体と車輪を描く。恐らくは二輪の荷車か。		
船		象形	片字			船体と波を描く。		
輪		象形	片字			車輪を描く。		
獣		象形	片字			獣の象形。		
家		象形	片字			家の象形。	【上】が【閉】になっている、閉鎖された住居を表す。	
虎				下位分類「しるしつけた字」		【獣】の頭部を強調し、虎を意味する。		
来		象形	片字	下位分類「まわした字」		【行】を回転し、来ることを表す。		
友		会意	集意之字			【人】と【人】と【糸】の組み合わせ。【糸】は繋ぐ意味。		
律		会意	集意之字		【文】	【筆】と【糸】の組み合わせ。【糸】は繋ぐ意味である。【文】と類似した起源を持つ。		
糸		象形	片字		【連】	糸巻きの象形。		
草		象形	片字			草の象形。古くは二点と三点があったが、【在】との紛らわしさを減らすべく三点が生き残った。		
連		象形	片字		【糸】	【糸】の最終画が下に伸びたものか。/鎖の象形か。		
冠		象形	片字			冠の象形。		
大		指事	片字		【上】	基準としての二本の横棒に対してその上を表すことで、大きい様を表す。		
小		指事	片字		【下】	基準としての二本の横棒に対してその下を表すことで、小さい様を表す。		
加		象形	片字	下位分類「しるしつけた字」		2つの要素を繋ぎ、足し合わせることを象徴する。		
広		会意	集意之字			【周】と【大】の組み合わせで、境界が大きい、つまり広い様を表す。		
女		指事	片字	下位分類「しるしつけた字」		【人】に印をつけ、妊娠している人を象り、女性を表す。		
石		象形	片字			石の象形。		
岩		象形	片字			石の象形。		
山		象形	片字			山の象形。【満】と同形の異体は燐帝整理により排除されたが、【島】の構成要素などに見られる。		
軸		象形	片字			植物の茎の象形。/車軸の象形。		
同		指事	片字			2つのものを貫き、同じことを示す。		
圧		象形	片字			基準面を押しているさまを示す。【積】の兄弟か。		
島		会意	形集之字			【満】（【山】の意）と【水】により、水に浮かぶ山状のもの、つまり島を描画する。	【水】と【満】で島の周りに水が満ちていることを表す。	
日		象形	片字			太陽の象形。		
耒			歪字			【来】の略体。		
集		象形	片字			人々がある場所に集まっているさまを象る。		
力		象形	片字		【錘】	分銅の象形。		
十			歪字			【五】を2つ重ねたものの訛字。		
直		指事	片字			目盛りの象形。		
巫		象形	片字			祭器をもつ人の象形。古形より祭器は皇草か。		
錘		象形	片字		【力】	分銅の象形。		
震		象形	片字			振動するコマなどの象形か。		
地			歪字			【神】と【処】の組み合わせの訛字。【処】の兄弟。		
之						不詳。単なる注釈記号だったか。		
撃		象形	片字			棒を持った手を象る。		
肉		会意	集意之字			【閉】と【骨】の組み合わせで、骨を閉じ込める肉を表す。		
刀		象形	片字			刀の象形。		
心		指事	片字	下位分類「しるしつけた字」		【人】の中央部を強調したもの。ラネーメでは心臓に心が宿ると考えられた。		
腹		指事	片字	下位分類「しるしつけた字」		【人】の一方を強調し、腹を表す。		
馬		象形	片字			馬の象形。		
如						不詳。【在】の訛字か。		
北						【星】と【軸】を合わせ、星がそこを中心として回る向きである北を表す。		
耳		象形	片字			耳の象形。		
門		象形	片字			門の象形。		
囲		会意	片字	【＊囗】が単一字母でないので		【人】とそれを取り囲む線により、人が囲まれている様を描出する。		
国		会意	片字			【王】とそれを取り囲む線により、王の領地を描出する。燐帝整理前は【囲】の字形でも書いた。		
歪						歪んでいる様の象徴。【十】や【唯】との字形衝突を防ぐべく現在の字形が定着した。		
道		会意	集意之字		【通】	【足】と【処】を組み合わせ、歩く場所である道を表す。		
全		会意	片字			【物】で形象されている部分を取り囲む線により、全体を表す。/仮借を疑う研究者も存在するが、その場合本義がよくわからないことがネックとなる。		
豆			歪字			【種】と【種】の組み合わせの訛字。		
種		象形	片字	なおパイグ語ではさやがないほうが【種】。		さやのある豆の象形。		
川				【⿱道水】の略体		【水】と、【道】の略体の組み合わせ。		
川				【⿱船水】の略体		【水】と、【船】の略体の組み合わせ。		
海		会意	集意之字			【水】と【処】の組み合わせ。		
東			意之別字	バート語では【東】と【日】は同一語。		【日】の分化字。		
南						【東】の字形の【日】と、【処】の組み合わせ。	【日】と【大】で、日が大きい南を表す。	
西			片字	下位分類「まわした字」		【東】を回転し、西を表す。		
入			片字	下位分類「まわした字」		【生】を回転し、入ることを表す。		
反		象形	片字		【針】	反り返った釣り針の象形により、反ること、逆に進むことを表す。		
叛						不詳。装飾のついた針か。		
鳥		象形	片字	縦棒の上の方が頭で斜め画が羽なんだとさ		鳥の象形。		
傷		象形	片字		【値】【字】【色】	多数の刻みの象形。		
而						不詳。単なる注釈記号だったか。		
混		会意	集意之字			【包】と【値】（【傷】の意）により、刻み混ぜる様を表す。		
何		会意	集意之字			【心】を【無】で否定し、心になくて分からない様を表す。		
疲		会意	集意之字			【心】と【口】の組み合わせで原義「うめく」を表す。	【皇】の周りにもある闇の象徴と、【心】を合わせたもの。	
机		象形	片字			机の象形。		
値					【傷】【字】【色】	数を表すのに用いる多数の刻みの象形。		
助						【手】と【手】と棒からなる。		
宦	lin-marn.html	会意	集意之字	もともと二字認識。燐帝整理以降。		【官】と【人】の組み合わせ。		
吏	lin-marn.html	会意	集意之字			【官】と【人】の組み合わせ。		
僚	lin-marn.html	会意	集意之字			【官】と【翰】の組み合わせ。		
止						【足】の前に線を置き、原義「到着する」を表す。		
産						【足】の三方を囲み、囲まれた場所から出る様子を描出する。		
生						【足】の後ろに線を置き、原義「出発する」を表す。【産】とはもとは別字だが、燐帝整理により同一視された。		
祖		会意	集意之字			【人】と【連】の組み合わせで原義「家系」を表す。		
果		象形	片字			果物の象形。		
絵			歪字			【書】の訛字。	【圧】と【筆】で、押して作る印影を表す。	
輩		会意	集意之字			【同】と【人】で、同じ親を持つ兄弟姉妹を表す。		
新				下位分類「まわした字」		【古】を回転し、新しいことを表す。後に【下】と【耒】が動用し今に至る。		
書						【筆】と【処】で、書く対象を示し、「書物」を表す。		
少						短い線で少ない事を示す。	少量のものを掬い上げるさじの象形。	
官						【上】と【人】2つを組み合わせ、統治機構である「政府」を表す。	　	
低				下位分類「しるしつけた字」		【下】と【処】/【層】の下部に点を打ち、「低い」ことを示す。		
高				下位分類「しるしつけた字」		【上】と【処】/【層】の上部に点を打ち、「高い」ことを示す。		
機						【箱】と【輪】で、回転部のある箱状装置、すなわち「機械」を示す。		
械						【門】と【輪】で、回転部のある箱状装置、すなわち「機械」を示す。		
銭		象形	片字			束ねた穴あき銭の象形。		
時		会意	集意之字			【日】と【足】の組み合わせで、日の移動することにより象徴される時を表す。		
為						【手】とハンマーのような道具を組み合わせて「為す」ことを示す。		「ポボ」という祭器は、他の祭器と組み合わせて儀式を行なうことが多かった。そのため複数の祭器を用いた儀式を表したが、後世には一般的に「為す」意味に転じた。
亦						不詳。かすがいか継手の象形か。		
謝						【直】と【為】を組み合わせて、基準とすること、折り合いをつけることから「謝る」という意味に転じた。	謝罪という正しい行為を行うことから。	古代ラネーメでは、真っ直ぐな姿勢を取ることは謝罪を意味したから。
通					【道】	【道】から分化し、専ら文法的接辞に使うようになった。		
深						【樽】の底に線を引き、「深い」ことを示す。		
散		指事	片字			4つの点を書き、「散らばる」さまを示す。	【上】と【開】で箱の上が開いていて粉が散るさまを表す。	
兵		象形	片字	下位分類「しるしつけた字」		棒状の道具（武器）を持った【人】を示し、「兵士」を表す。		
内		指事		下位分類「しるしつけた字」		点とそれを取り囲む線により、「内側」の意味を示す。		
始						【日】と基準線を用いて日の出を象徴し、「始まり」の意味を示す。		
席		会意	集意之字			【人】と【机】によって人の座る場所、「席」を示す。		
終				下位分類「まわした字」		【始】を回転し、終わることを表す。		
己					【我】【此】	不詳。		
汝		会意				【己】の反転に【人】を加え、「あなた」という意味を示す。		
彼				訛字		【物】（【己】の反転の義）と【己】を組み合わせ、遠称として用いたもの。訛字。		
其						もと【己】の反転だったが、【物】との衝突を避け、物を加えた。		
此		会意			【己】【我】	【己】と物を組み合わせ、「これ」を示す。		
我		会意			【己】【此】	【人】と【己】で、自分自身、つまり「私」を示す。		
互		象形				ほぞの象形で、互いに組み合わさったさまを示す。		
閉		象形				閉じたさまを象徴する。		
覆		会意				【閉】と【己】（【物】の反転の義）を組み合わせ、何かを覆うさまを象徴する。		
周						取り囲む線（【囲】などに見られる）の分化。		
中						基準としての横棒に対してそのちょうど真ん中にあることを表す。		
外						取り囲む線の外部に点を付し、「外側」を意味する。		
夘						取り囲む線の外部に点を付し、「外側」を意味する。		
故		会意	集意之字			【言】と【上】を組み合わせ、発言の前にあるものを表す。		
近						【周】に【足】がついて分化したもの。		
開						開いたさまを象徴する。		
物						物の象形。【石】関連ありか。		
類					【属】	【同】と【等】で同じものたちの集合、すなわち「種類」を表す。		
科		会意	集意之字			【心】と【内】の組み合わせ。		
座						【机】の上部に点を打ち、人の座る場所「席」を示す。		
男						【人】に男性器を示す点を付したもの/【女】の左右反転形。		古代は、男性は子を生む能力を持たないことから、女系の力の強い社会が形成されていた。そのため、【人】に【少】を付けて男を示した。
豊		会意	集意之字			【物】と【等】でものの多い様、すなわち「豊か」なさまを示す。		
牌		会意	使多言一	根拠言語: パイグ語		【己】（【我】の義）と【等】の組み合わせ。pai2 geの合字。		
別						2つの要素を切断し、分けることを象徴する、転じて差の意味にもなった。		
属					【類】	【類】の【等】を構成要素の同じ【多】に積み直したもの。		
陸						【山】の分化字。		
谷				訛字		【山】の反転形の訛字。		
件				下位分類「しるしつけた字」		【物】を強調したもので、特に取り立てたい事柄を示す。		
満						特定の場所に、何かが広がっていくさまを描出し、「満ちる」様を示す。		
龍						にょろっとしたすごいの	7つのアレ（光龍卵）を持つので、【七】と【彼】に従う。	
或						不詳。【亦】と関連ありか。		
包						容器の象形で、「包む」さまを示す。		
傾						坂の象形で、「傾き」を意味する。		
党						【言】と【等】を組み合わせ、議論のための集まりを意味する。		
